ID,Nosaukums,Latitude,Longitude
593,Šķirnates ezers ,55.6871389,26.4985833
594,Šuņazars,55.9006944,26.5056111
595,Roznieku ezers,57.26275,26.5069722
596,Lielais Murmasts,56.6231389,26.5174722
597,Lielais Kolupa ezers,56.1445833,26.5241111
598,Krīvānu ezers,56.054,26.5251944
599,Dervanišku ezers ,55.7886389,26.5326944
600,Galgauskas ezers,57.2254167,26.5331389
601,Malnais ezers ,56.5532778,26.5339167
602,Mazais Kolupa ezers,56.1112222,26.5340556
603,Seiļu ezers,56.0280833,26.5361389
604,Demenes ezers,55.73425,26.5362778
605,Briģenes ezers,55.7446944,26.5418889
606,Lisiņš ,56.631,26.54375
607,Akmenka,55.7204444,26.5543333
608,Dārza ezers ,55.7035556,26.5544167
609,Skirnas ezers,55.6771944,26.564
610,Pīslaists,56.5745556,26.5681944
611,Siladzirnavu ezers,57.0844444,26.583
612,Jāņuciema ezers ,55.7575833,26.5926111
613,Mazais Stropu ezers,55.9318611,26.5968333
614,Lielais Stropu ezers,55.9136944,26.5969444
615,Ugarinka,55.71275,26.6379722
616,Bleidas ezers,56.2208333,26.6451111
617,Čerņava ,55.7251389,26.6506389
618,Ušura ezers,57.0509444,26.6561944
619,Kumbuļu ezers,55.7487222,26.6650833
620,Ziļmas ezers ,56.2263333,26.6765833
621,Šusta ezers,56.1942778,26.6819167
622,Garais ezers,57.4358889,26.6829722
623,Sudals,57.3159444,26.6844444
624,Bruņu ezers,55.7911111,26.6870556
625,Augulienas ezers,57.2707222,26.6969722
626,Luksta ezers,57.4240556,26.6982778
627,Lielsloku ezers,57.3973611,26.7112778
628,Limanka,56.1835278,26.7131944
629,Ķiploks,57.3286389,26.7136944
630,Riču ezers,55.6967778,26.7161944
631,Pātražs,57.3411111,26.7191667
632,Pelēča ezers,56.169,26.7234444
633,Pintelis,57.2740556,26.7368056
634,Veirūgnes ezers,56.1063889,26.73875
635,Šēnheidas ezers,55.7577778,26.7391111
636,Dūju dambis,57.3834444,26.7489167
637,Pirmā Glušonka,55.7261389,26.757
638,Otrā Glušonka,55.7276111,26.7668611
639,Sitas ezers,55.6777778,26.7764444
640,Luknas ezers,56.0675556,26.7826944
641,Kalekaura ezers,57.5681389,26.7859167
642,Abiteļu ezers,55.7713333,26.7890278
643,Dotka,56.0514722,26.7911111
644,Sila ezers,55.7286944,26.7911389
645,Opulītis,57.3023889,26.7916667
646,Volņaņišku ezers,55.7121389,26.8075278
647,Smiļģine ,55.7217222,26.8130278
648,Zabolotņiku ezers,55.7469167,26.8139167
649,Višku ezers,56.0522222,26.8222222
650,Sprīvuļu ezers,57.3141111,26.8245278
651,Klepinu ezers,55.7603889,26.8441667
652,Lielā Solka ,56.1793056,26.8523056
653,Kaučers ,56.2714722,26.8572778
654,Stūponu ezers,56.2573333,26.8579444
655,Beļānu ezers ,55.7113611,26.8604167
656,Lielais Ostrovas ezers,56.3171944,26.8678056
657,Mazā Solka ,56.1798056,26.8689167
658,Salmejs ,56.2900556,26.8751667
659,Dūnakļu ezers,55.76075,26.8757778
660,Ārdavas ezers,56.1326389,26.8771944
661,Ludza ezers,57.2641111,26.8818333
662,Lubāns ,56.7747778,26.886
663,Eikša ezers,56.1968611,26.8887778
664,Jašas ezers,56.2108333,26.891
665,Stāmerienas ezers,57.2225,26.89125
666,Pogas ezers,57.2089722,26.8987778
667,Kirjanišku ezers,55.7720833,26.9003056
668,Mezītis,57.0881944,26.9119167
669,Bicānu ezers,56.2236667,26.9123889
670,Sedežs,56.2456944,26.9150556
671,Kamenkas ezers,55.7853889,26.9171944
672,Pilskalna ezers,57.5887222,26.9234722
673,Pakalnis ,56.0954722,26.9251111
674,Oposta ezers,56.1476111,26.9259722
675,Kategrada ezers,56.2266667,26.9350278
676,Kalnienas ezers,57.2711667,26.9418333
677,Teirumnīku ezers,56.7204167,26.9481389
678,Ruskuļu ezers,56.1281667,26.9496389
679,Lazdags,57.0583889,26.9571944
680,Kauguru ezers,57.1826389,26.9571944
681,Lielais Baltiņš,57.5994722,26.9638889
682,Tartaka dzirnavezers,55.8871111,26.9746944
683,Cirišs,56.1336111,26.9765
684,Drabāku-Orenīšu dīķi,56.6881111,26.9784167
685,Lielā Kurtoša ,56.1984167,26.9798889
686,Raipala ezers,57.5855556,26.9798889
687,Buliņa ezers,57.392,26.98125
688,Kalnis,57.0955,26.9825278
689,Zolvas ezers,56.2244167,26.9862778
690,Ciriša ūdenskrātuve,56.1005833,26.9905556
691,Feimaņu ezers,56.2756944,26.998
692,Indzeris,57.3804722,27.0026944
693,Veclaicenes ezers,57.5648611,27.01225
694,Šķeltovas ezers,56.0282778,27.0130556
695,Sargavas ezers,55.9740833,27.01575
696,Kameņecas Ilzs ,56.1446667,27.0178333
697,Aglonas ezers ,56.1241667,27.0258333
698,Sekstu ezers,56.2148889,27.036
699,Rušons ,56.1836944,27.0401389
700,Pullans,57.4005278,27.0410833
701,Peipiņu ezers ,56.03275,27.0411111
702,Dziliukšņa ezers,56.25325,27.0467222
703,Galdacis,56.2459722,27.0525278
704,Lielais Dubuļkas ezers,56.119,27.0539722
705,Dzilnas ezers,57.4661944,27.0550278
706,Lielais Kiuriņa ezers,56.7623333,27.0593889
707,Kopiunes ezers,56.9685278,27.06
708,Aksenovas ezers,56.0394444,27.0630833
709,Gadrinkas ezers,56.2108889,27.0660278
710,Kovališku ezers,56.2633611,27.0728889
711,Ciskodu ezers,56.452,27.0775278
712,Mazais Kiuriņa ezers,56.7748611,27.0816667
713,Biešons,56.1013333,27.0834444
714,Alūksnes ezers,57.4496389,27.0851111
715,Karašu ezers ,56.0931389,27.0856667
716,Murata ezers,57.5815,27.0896389
717,Vaidavas ezers,57.5574722,27.1054444
718,Kaļveiša ezers,56.0568889,27.1056667
719,Čerstogas ezers,56.2554444,27.1086111
720,Bieržgaļa ezers,56.14925,27.1135833
721,Lūkumītis,57.4997222,27.1160278
722,Čertoks,56.0840556,27.1166667
723,Terehovas ezers,56.1126111,27.1180833
724,Mušas ezers ,56.1861111,27.1270278
725,Tarakanovkas ezers,56.4415,27.1345833
726,Jazinks ,56.0750833,27.1391667
727,Černostes ezers,56.2821944,27.1408889
728,Sakovas ezers,56.0324722,27.1416389
729,Svātovas ezers,56.2153333,27.14425
730,Purišs,56.2434444,27.1451944
731,Geraņimovas Ildzs ,56.1576389,27.1488056
732,Lielais Svieteņu ezers,56.76025,27.1493333
733,Ošaura ezers,56.2509167,27.1626111
734,Zosns ,56.0456389,27.1641944
735,Boževas ezers,56.9904167,27.1666389
736,Saviņu ezers ,56.0752778,27.1673333
737,Kombuļa ezers,55.9752222,27.1713056
738,Udriņka,56.0875278,27.1713889
739,Grigorija ezers,56.4519167,27.1737778
740,Losu ezers ,56.4413056,27.1751944
741,Ildzs,55.9901389,27.1773889
742,Cārmins ,56.0490278,27.1780556
743,Zirga ezers,55.9128333,27.1875
744,Ašars,55.9281944,27.1878889
745,Seklis ,55.9659722,27.1878889
746,Viertiukšņa ezers,56.3608333,27.1938056
747,Plaudiņa ezers,56.0452222,27.1974444
748,Ilganču ezers,56.9833333,27.1987778
749,Žierkleitis,56.2073889,27.202
750,Konušku ezers ,56.0711111,27.2039167
751,Pušas ezers,56.2409444,27.2043056
752,Ildzs,56.03425,27.2058056
753,Olksns ,55.9271667,27.2061389
754,Lejs ,56.0188333,27.2065
755,Pertoška,56.1268333,27.2098889
756,Pisiņa ezers ,56.1211111,27.2190278
757,Pūderovas ezers,56.6053333,27.2202222
758,Koškinas ezers,56.1336111,27.2205
759,Guļbiņa ezers,56.0069722,27.2219444
760,Pokratas ezers,56.9575278,27.2261111
761,Kustaru ezers,56.1118889,27.2280556
762,Mazais Gausls ,56.0593889,27.2281944
763,Špieļu ezers,56.3294167,27.2281944
764,Lielais Gausls ,56.0508056,27.22825
765,Osvas ezers,55.9340833,27.2332222
766,Balvu ezers,57.1309444,27.2336667
767,Pozdņakovas ezers,56.1133889,27.2431667
768,Dubuļu ezers,56.1421944,27.2437778
769,Šilovkas ezers,55.8203333,27.2470833
770,Ūgliņa ezers,56.0708611,27.2486389
771,Ižoru ezers,56.2066667,27.2510556
772,Ārdavs ,56.0121944,27.2613333
773,Cierps ,56.0826944,27.2618889
774,Baltais ezers,56.1261111,27.2633333
775,Meiruļa ezers,56.1758611,27.2663333
776,Bolts ,55.93025,27.2663611
777,Ilzas ezers,56.2585,27.2709722
778,Krāku ezeri,56.2839167,27.2738333
779,Boltais ezers,56.2457778,27.2753889
780,Soročkas ezers,56.2515,27.2768333
781,Aulejas ezers,56.0519444,27.2770833
782,Ižuņa ,56.1581667,27.2779444
783,Ots,55.9916111,27.2783056
784,Mazais Ožukns,55.9626944,27.2843333
785,Jiusers,56.6177222,27.2847778
786,Harčenku ezers,56.3640833,27.2862222
787,Okras ezers,56.1292778,27.2878889
788,Dreidzs ,55.9773611,27.2921111
789,Vilnīšu ezers ,55.8088333,27.2928611
790,Idaņa,56.1689722,27.2931389
791,Varnaviču ezers,55.8230556,27.2956111
792,Gaiduļu ezers,56.4272778,27.2982222
793,Skaistas ezers,55.9409444,27.2998056
794,Kiuku ezers,56.4581667,27.3003333
795,Griuznis,56.9694444,27.3011111
796,Lielais Ožukns,55.9575,27.3028889
797,Bierža ezers,56.0846944,27.30375
798,Pārkunu ezers,57.1446111,27.3041111
799,Grundu ezers,57.3014722,27.3045
800,Kaugurs,56.2400556,27.3059167
801,Kauseņš,55.9989167,27.3060278
802,Umaņu ezers,56.217,27.3103333
803,Zundu ezers,56.1932222,27.3160278
804,Kovšu ezers ,56.4975833,27.3191389
805,Zosnas ezers,56.3333056,27.3207222
806,Sološnīku ezers ,56.6647222,27.3266667
807,Rūbežnīks,55.9253889,27.3285
808,Soms,55.9574167,27.3308611
809,Pujatu ezers,56.6830278,27.335
810,Sivers ,56.0220278,27.3359444
811,Stībraišs ,56.2354167,27.3403611
812,Margaucis,55.9964444,27.3404167
813,Ismeru ezers ,56.3836944,27.3483056
814,Ildzs ,55.9491389,27.3489722
815,Riņģis ,55.8673611,27.3540556
816,Kuļa ezers,55.93725,27.3546389
817,Sprūgu ezers,57.235,27.3659167
818,Teneiss,56.0073889,27.3677778
819,Dauguļu ezers ,55.8679444,27.3679722
820,Bižas ezers,56.1660556,27.3696389
821,Ojots ,56.0568611,27.3760278
822,Stirns ,55.9265,27.3891944
823,Odumovas ezers ,56.55975,27.3906667
824,Viraudas ezers,56.2223889,27.3938333
825,Tiļžas ezers,56.9575278,27.3986111
826,Dziļais ezers,55.8521667,27.4058056
827,Vizuleitis,56.5824722,27.4063889
828,Stogoršņu ezers,56.6473056,27.4083056
829,Solojs,56.2075,27.4085556
830,Purva ezers,55.8580556,27.4093056
831,Ustubnīks,55.9298889,27.41375
832,Gailumu ezers,56.6796389,27.4285556
833,Raicinis,56.9075278,27.4302778
834,Dorotpoles ezers,55.8940278,27.4321389
835,Žuguru ezers,56.2034167,27.4345278
836,Orlovas ezers,57.0213889,27.4362222
837,Sološu ezers ,56.5702778,27.43675
838,Visolda ezers,56.1386667,27.4371111
839,Olovecs,56.1663333,27.4381667
840,Ižūna ezers,56.0352778,27.44075
841,Rāznas ezers,56.3268889,27.4459444
842,Lielais Pokuļevas ezers,57.2119167,27.4470556
843,Križovs,56.1766389,27.4471389
844,Svoitānu Ildzis,56.2052222,27.4496944
845,Baļinovas ezers,56.3882778,27.4501944
846,Dūņu ezers,55.9749722,27.4590278
847,Niperovas ezers,56.5103889,27.4621389
848,Plaudeņš,56.0145556,27.4640278
849,Diunoklis,56.1997778,27.4651667
850,Indrs ,55.9966667,27.4662778
851,Iļdžs,56.0198056,27.4723611
852,Luknojs,56.1822222,27.4748889
853,Garais ezers ,55.8297222,27.4810278
854,Borauga ,56.1913611,27.4876111
855,Bižu ezers,56.5265278,27.49025
856,Baltais ezers ,55.85075,27.4956111
857,Micānu ezers,56.6193333,27.4971667
858,Praļņica,56.1363889,27.4977222
859,Grižanku ezers,56.2173333,27.5012222
860,Križutu ezers,56.4825556,27.5042222
861,Ploskīnes ezers,57.0121944,27.5083056
862,Kuļpines ezers,57.1839444,27.5092778
863,Lielais Ildzis,56.17025,27.5105833
864,Melnezers ,55.8414167,27.5164167
865,Opsas ezers,56.0772222,27.5176111
866,Viraudas ezers,56.5785556,27.5180833
867,Rešetnīku ezers,56.1957222,27.5214722
868,Kaunatas ezers,56.3263611,27.5236389
869,Nūmiernes ezers,56.8480278,27.5256944
870,Garais ezers,56.0051111,27.5278889
871,Meirānu ezers,56.63125,27.5307222
872,Ostrovnas ezers,55.8283056,27.5381389
873,Rokolu ezers,56.1966389,27.5382222
874,Svātiunes ezers,56.8886389,27.5390556
875,Antropovas ezers,56.2845,27.5433056
876,Arla ezers,56.1953611,27.552
877,Spruktu ūdenskrātuve,56.4088889,27.55225
878,Stoļerovas ezers,56.4367222,27.5538056
879,Sedziers ,56.5566944,27.5548056
880,Plaudeiša ezers,56.2235,27.5626111
881,Galšūns,56.1193333,27.5626944
882,Ļutaucu ezers,56.043,27.5628056
883,Janovas ezers ,56.133,27.5630833
884,Izovas ezers,55.9074722,27.5645556
885,Nastrovas ezers,57.1953611,27.5661389
886,Pauliņu Ildzis ,56.2284167,27.5688056
887,Gostiuns,56.2411111,27.5751667
888,Obeļovas ezers,56.9033889,27.5763611
889,Ormijs ,55.9865,27.5785
890,Jolzas ezers,56.0233611,27.5786944
891,Dagdas ezers,56.0829444,27.5795
892,Stībreiša ezers,56.2110278,27.5884167
893,Pūdnīku ezers,56.48125,27.5974722
894,Motrīnes ezers,56.8680278,27.6034167
895,Matejka ,55.9685278,27.6040833
896,Eša ezers,56.1690278,27.6051389
897,Tepenīcas ezers,57.2240278,27.6056667
898,Patmaļnīku ezers ,56.2309167,27.6057222
899,Rikopoles ezers,56.3893611,27.6089722
900,Cirma ezers,56.5582778,27.6111111
901,Ancovas ezers,56.4210278,27.6111944
902,Lielais Gusena ezers,55.9661389,27.6164444
903,Lielais Asūnes ezers,56.0210278,27.6166389
904,Dubuļu ezers,56.2585833,27.6191944
905,Viecinu ezers,56.4231944,27.6268333
906,Udrijas ezers,56.1949722,27.6270833
907,Maksimovas ezers,55.8936111,27.6276944
908,Mazais Gusena ezers ,55.9566667,27.6293889
909,Marguču ezers,56.3378056,27.6314444
910,Dolgojes ezers,55.8361111,27.6329167
911,Šostu ezers,56.3814722,27.6397222
912,Dukanu ezers,56.49875,27.6406389
913,Pārtovas ezers,56.3094722,27.6467222
914,Vaišļu ezers,56.2911389,27.6484444
915,Dziļūts,56.3718333,27.654
916,Soidu ezers,56.5119444,27.6540556
917,Mošņica,55.9890833,27.6554722
918,Bečeru ezers,56.3836111,27.6568333
919,Melnais ezers ,55.9325,27.6576667
920,Kaitras ezers,56.0633056,27.6579722
921,Baltais ezers ,55.9374722,27.6611111
922,Pauguļu ezers,56.5488889,27.6643889
923,Zeiļu ezers,56.5120556,27.6657222
924,Kiudalovas ezers,56.4588333,27.6731389
925,Nauļānu ezers,55.9768333,27.6769444
926,Idzipoles ezers,56.3381667,27.6830556
927,Liepnicas ezers,57.3576111,27.68575
928,Tribuku ezers,56.4701667,27.6861389
929,Runtortas ezers,56.5289167,27.6866667
930,Zviergzdines ezers,56.5603333,27.6867222
931,Opolais Snidzins,56.3774444,27.6873611
932,Viļakas ezers,57.1928611,27.6894444
933,Kairišu ezers,56.0916667,27.6979722
934,Sleinovas ezers,56.4,27.7051111
935,Bezļesjes ezers,56.2355833,27.7113333
936,Mazais Ludzas ezers,56.5492222,27.7116944
937,Garais Snidzins,56.3840556,27.7131667
938,Diunokļa ezers,56.5590278,27.7136944
939,Antoslavas ezers ,56.4391111,27.7158056
940,Adamovas ezers,56.1958889,27.7159444
941,Bižas ezers,56.2589444,27.72175
942,Porkaļu ezers,56.3821389,27.7263889
943,Rogaižas ezers,56.3590278,27.7312222
944,Rauzu ezers,56.5093889,27.7416667
945,Vorcu ezers,56.3692778,27.7448333
946,Testečkovas ezers,56.2373333,27.7498333
947,Rancānu ezers,56.3910556,27.7548333
948,Lielais Ludzas ezers,56.53975,27.7665556
949,Osvas ezers,56.0830278,27.7718889
950,Pildas ezers,56.4710833,27.7732778
951,Ostrovas ezers,56.3882778,27.7751389
952,Škirpānu ezers,56.3905278,27.78225
953,Lielais Kūrmas ezers,56.4101389,27.7844167
954,Franapoles ezers,56.561,27.7853611
955,Vidējais ezers,56.4621111,27.787
956,Brodaižas ezers,56.3173333,27.7908056
957,Mazais Kūrmas ezers,56.42,27.8003056
958,Zurzu ezers,56.4514167,27.8021667
959,Audeļu ezers,56.2983611,27.8101111
960,Lielais Filantmuižas ezers,56.3876667,27.8108611
961,Oču ezers,56.4656667,27.8283333
962,Felicianovas ūdenskrātuve,56.5401667,27.8554444
963,Istalsnas ezers,56.48675,27.8560833
964,Aunejas ezers,56.3379722,27.8566111
965,Nazaru ezers,56.11425,27.8598333
966,Leidiukšņa ezers,56.39525,27.8606111
967,Rojevkas ezers,56.7228611,27.8792222
968,Nierzas ezers,56.3900278,27.9013889
969,Sporna ezers,56.4072222,27.9534167
970,Istras ezers,56.24425,27.9759722
971,Audzeļu ezers,56.2600278,27.9782778
972,Zeiļovas ezers,56.1839167,27.9845278
973,Kurjanovas ezers,56.5311111,27.9884722
974,Lielais Lauderu ezers,56.3490278,27.991
975,Dziļais ezers,56.2532778,27.9946389
976,Molvejas ezers,56.1995278,28.0033333
977,Gordojs,56.1866944,28.0041111
978,Plisūns,56.2205833,28.0066111
979,Maroksnas ezers,56.2791389,28.0106667
980,Keiša ezers ,56.2061389,28.0213889
981,Daļkas ezers ,56.5506667,28.0245
982,Kovšezers,56.2311944,28.0301944
983,Peiteļa ezers,56.6036944,28.0410833
984,Dolgojes ezers,56.2988611,28.0454722
985,Ubuļu ezers,56.2869167,28.0483611
986,Lielā Paļts,56.1887778,28.05025
987,Škaunas ezers,56.2624722,28.0595833
988,Brigu ezers,56.4146389,28.0699722
989,Ilza ezers,56.2374167,28.0749167
990,Sološu ezers,56.33625,28.0769444
991,Aglonkas ezers ,56.2594167,28.1097222
992,Pintu ezers,56.1848333,28.12075
993,Šešku ezers,56.1809722,28.1225556
994,Zilezers,56.5109167,28.1236944
995,Zaļesjes ezers,56.3340278,28.1409167
